                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5688,                 2.5325,                 2.3437,                0.62026,                0.75294,                0.69597,                0.44191,                 1.2369,                  1.155,                 2.1385,              0.0033298,              0.0033298,              0.0033298
                      2,                 1.3087,                 1.4103,                 2.0743,                0.67512,                0.81225,                0.73282,                0.49345,                 1.0992,                 1.0423,                 2.0238,              0.0065971,              0.0065971,              0.0065971
                      3,                 1.2806,                 1.2817,                 2.0662,                0.69773,                0.79972,                0.74119,                0.49097,                 1.1401,                 1.0678,                 2.0746,              0.0097985,              0.0097985,              0.0097985
                      4,                 1.2906,                 1.2843,                 2.0727,                0.69838,                0.79562,                0.75806,                0.49372,                  1.108,                 1.0523,                 2.0154,               0.009703,               0.009703,               0.009703
                      5,                  1.257,                 1.2235,                 2.0307,                0.73092,                0.81402,                0.77909,                0.52431,                 1.0712,                   1.01,                 1.9348,               0.009604,               0.009604,               0.009604
                      6,                 1.2219,                 1.1839,                 1.9957,                 0.7449,                0.81376,                0.79997,                0.55318,                 1.0243,                0.94881,                 1.9172,               0.009505,               0.009505,               0.009505
                      7,                 1.1954,                 1.1499,                 1.9587,                0.75491,                0.82266,                0.80701,                0.55471,                 1.0214,                0.95202,                 1.8708,               0.009406,               0.009406,               0.009406
                      8,                 1.1822,                 1.1163,                 1.9301,                0.75959,                0.80496,                0.81858,                0.56543,                  1.018,                0.93636,                 1.8664,               0.009307,               0.009307,               0.009307
                      9,                 1.1627,                 1.1016,                 1.9133,                0.80212,                0.80538,                0.84159,                0.57632,                0.99324,                0.90225,                 1.8167,               0.009208,               0.009208,               0.009208
                     10,                 1.1503,                 1.0687,                  1.891,                0.78666,                0.81677,                0.83837,                0.59217,                0.96533,                 0.8699,                 1.7767,               0.009109,               0.009109,               0.009109
                     11,                 1.1328,                 1.0587,                  1.862,                0.83845,                0.80473,                 0.8581,                0.60625,                0.97335,                0.84562,                  1.828,                0.00901,                0.00901,                0.00901
                     12,                 1.1176,                 1.0272,                 1.8554,                0.82452,                 0.8076,                0.85813,                0.60664,                0.94005,                0.85572,                 1.7779,               0.008911,               0.008911,               0.008911
                     13,                 1.1103,                 1.0236,                 1.8461,                0.83756,                0.82723,                0.86878,                0.62884,                0.92271,                0.82904,                 1.7477,               0.008812,               0.008812,               0.008812
                     14,                 1.0971,                 1.0069,                 1.8383,                0.83066,                0.82017,                 0.8665,                 0.6148,                0.93469,                0.83059,                 1.7664,               0.008713,               0.008713,               0.008713
                     15,                 1.0926,                 0.9945,                 1.8197,                0.83591,                0.83705,                0.86476,                0.62247,                0.90771,                 0.8041,                 1.7308,               0.008614,               0.008614,               0.008614
                     16,                 1.0892,                0.99237,                  1.827,                0.83735,                0.84305,                0.87077,                0.62307,                0.90304,                0.82349,                 1.7417,               0.008515,               0.008515,               0.008515
                     17,                 1.0757,                0.96891,                 1.7924,                  0.867,                0.84207,                0.89077,                0.64376,                0.89265,                0.79734,                 1.7147,               0.008416,               0.008416,               0.008416
                     18,                 1.0645,                0.96049,                 1.7888,                0.86298,                0.84251,                0.88472,                0.64655,                0.88318,                 0.7798,                 1.6843,               0.008317,               0.008317,               0.008317
                     19,                 1.0536,                0.94551,                 1.7802,                0.86013,                0.84795,                0.88753,                0.64471,                 0.8878,                0.79082,                 1.7258,               0.008218,               0.008218,               0.008218
                     20,                 1.0495,                0.94026,                 1.7665,                0.86117,                0.83748,                0.88583,                0.64787,                0.87547,                 0.7857,                 1.7134,               0.008119,               0.008119,               0.008119
                     21,                 1.0359,                 0.9252,                 1.7581,                0.88074,                0.84477,                0.89771,                0.65608,                0.86159,                0.77666,                 1.6768,                0.00802,                0.00802,                0.00802
                     22,                 1.0389,                0.92608,                  1.752,                0.85993,                0.86104,                0.89498,                0.66287,                0.85383,                0.75604,                 1.6687,               0.007921,               0.007921,               0.007921
                     23,                 1.0322,                 0.9204,                 1.7427,                0.86765,                0.86313,                0.90586,                0.66142,                0.85771,                 0.7555,                 1.6709,               0.007822,               0.007822,               0.007822
                     24,                 1.0104,                0.89261,                 1.7213,                0.87037,                0.86714,                0.90035,                0.66568,                0.83438,                0.73917,                 1.6607,               0.007723,               0.007723,               0.007723
