                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6063,                 2.6325,                 2.3402,                0.67699,                0.72918,                 0.6991,                0.46435,                 1.2661,                  1.273,                 2.1307,              0.0033288,              0.0033288,              0.0033288
                      2,                 1.3236,                 1.4596,                 2.0427,                0.70301,                0.81822,                0.75274,                0.50767,                 1.1972,                 1.1061,                  2.008,              0.0065962,              0.0065962,              0.0065962
                      3,                 1.2811,                 1.3166,                 2.0143,                 0.6391,                0.83286,                0.76001,                0.51285,                 1.1904,                 1.1133,                  2.052,              0.0097976,              0.0097976,              0.0097976
                      4,                 1.2912,                 1.2925,                 2.0218,                0.73091,                0.82905,                0.76757,                0.52381,                 1.1254,                 1.0803,                  2.053,               0.009703,               0.009703,               0.009703
                      5,                 1.2516,                 1.2324,                 1.9706,                0.68324,                0.79918,                0.77842,                0.53763,                 1.0797,                 1.0905,                 1.9297,               0.009604,               0.009604,               0.009604
                      6,                 1.2206,                 1.1925,                 1.9359,                0.77874,                0.83934,                0.82724,                 0.5697,                 1.0503,                0.98738,                 1.9131,               0.009505,               0.009505,               0.009505
                      7,                 1.1956,                   1.16,                 1.9045,                 0.7816,                0.82348,                0.83701,                0.58111,                 1.0331,                0.95655,                 1.8651,               0.009406,               0.009406,               0.009406
                      8,                 1.1771,                 1.1206,                 1.8747,                0.81771,                0.80977,                0.85555,                 0.5889,                 1.0209,                0.95352,                  1.864,               0.009307,               0.009307,               0.009307
                      9,                 1.1513,                 1.0927,                 1.8448,                0.81731,                0.84477,                0.86296,                0.62725,                0.96897,                0.90333,                 1.7961,               0.009208,               0.009208,               0.009208
                     10,                 1.1405,                 1.0695,                 1.8268,                0.83783,                 0.8395,                0.87556,                0.62753,                0.97696,                0.88939,                 1.7493,               0.009109,               0.009109,               0.009109
