                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6602,                 2.4995,                 2.4931,                0.60632,                0.69294,                0.61701,                0.36625,                 1.3609,                 1.4344,                  2.406,             0.00033254,             0.00033254,             0.00033254
                      2,                 1.5652,                  1.811,                 2.4747,                0.60748,                0.70689,                0.65242,                0.37122,                 1.3763,                 1.3547,                 2.4646,             0.00065928,             0.00065928,             0.00065928
                      3,                  1.583,                 1.7663,                  2.511,                0.60311,                0.72204,                0.68432,                0.41022,                 1.3494,                 1.2841,                 2.3869,             0.00097942,             0.00097942,             0.00097942
                      4,                 1.5377,                 1.6729,                 2.4612,                0.59549,                0.77599,                0.70184,                0.42988,                 1.2949,                 1.2256,                 2.3596,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4851,                  1.586,                 2.3974,                0.65391,                0.78625,                0.71795,                 0.4393,                 1.2454,                 1.1244,                 2.2673,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.4519,                 1.5279,                 2.3716,                0.70319,                0.79152,                0.73562,                0.47747,                 1.1896,                  1.067,                 2.2257,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.4327,                 1.4885,                 2.3496,                0.68861,                0.79632,                0.74357,                0.47661,                 1.1704,                 1.0494,                 2.2608,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.3918,                 1.4422,                 2.3164,                0.70424,                0.79409,                0.76801,                0.49185,                 1.1467,                  1.023,                 2.1302,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.3726,                 1.3953,                 2.2897,                0.72956,                0.79456,                0.76365,                0.49923,                  1.182,                0.97892,                  2.088,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.3593,                 1.3774,                 2.2735,                0.72106,                0.81128,                0.78023,                0.50524,                 1.1173,                 0.9713,                 2.0912,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.3503,                 1.3657,                 2.2598,                0.72425,                0.84067,                0.78721,                0.53515,                 1.0766,                0.95426,                 2.0391,               0.000901,               0.000901,               0.000901
                     12,                 1.3241,                 1.3389,                 2.2292,                 0.7581,                0.82247,                0.80938,                0.55093,                 1.0512,                0.90669,                 2.0252,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.3128,                 1.3146,                 2.2156,                0.71003,                0.84482,                0.78102,                0.53735,                 1.0493,                0.92379,                 2.0345,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.3092,                 1.3067,                 2.2093,                0.74209,                0.83675,                0.81237,                 0.5611,                 1.0192,                0.88482,                 2.0077,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.2737,                 1.2648,                 2.1809,                0.73507,                0.83061,                0.80771,                0.55706,                  1.035,                 0.8852,                 1.9919,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.2831,                 1.2603,                 2.1717,                0.74651,                0.85069,                0.81328,                0.56632,                 1.0269,                0.86314,                 1.9745,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.2666,                  1.253,                 2.1511,                0.77634,                0.84963,                0.83304,                0.57876,                 1.0095,                0.85186,                 1.9521,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.2569,                 1.2413,                 2.1431,                0.76942,                0.81621,                0.82478,                0.56756,                 1.0356,                0.86461,                 2.0098,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.2508,                 1.2328,                 2.1416,                 0.7701,                0.83473,                0.83224,                 0.5788,                 1.0028,                0.84457,                 1.9189,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.2351,                 1.1998,                 2.1194,                0.76864,                 0.8392,                 0.8357,                0.59296,                0.97226,                0.83666,                 1.9205,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.2234,                 1.2029,                 2.1079,                0.76613,                0.84269,                0.84355,                0.59703,                0.98258,                0.81894,                 1.8925,               0.000802,               0.000802,               0.000802
                     22,                 1.2168,                 1.1841,                 2.1131,                0.79888,                0.83756,                0.84946,                0.60257,                0.97404,                0.81212,                 1.9253,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.2149,                 1.1762,                 2.0877,                0.78666,                0.83321,                0.84238,                0.60625,                0.95506,                0.80496,                 1.8623,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.2022,                 1.1686,                 2.0977,                0.78993,                0.82735,                0.84953,                0.60882,                0.94552,                0.80479,                 1.8817,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.1968,                 1.1507,                 2.0834,                0.82011,                0.82731,                0.86472,                0.62002,                0.94111,                0.76942,                 1.8679,              0.0007624,              0.0007624,              0.0007624
